,Date,Open,High,Low,Close,Volume
0,2025-06-20 09:15:00,1411.3,1416.0,1410.2,1414.3,72979
1,2025-06-20 09:16:00,1414.3,1415.0,1412.9,1413.7,33380
2,2025-06-20 09:17:00,1413.3,1414.8,1413.3,1414.8,18625
3,2025-06-20 09:18:00,1414.8,1416.1,1414.5,1416.1,12448
4,2025-06-20 09:19:00,1415.6,1416.1,1414.5,1414.7,14922
5,2025-06-20 09:20:00,1414.7,1415.3,1413.7,1414.1,11824
6,2025-06-20 09:21:00,1414.4,1414.4,1413.7,1413.7,4403
7,2025-06-20 09:22:00,1413.7,1413.7,1412.0,1412.1,5282
8,2025-06-20 09:23:00,1412.0,1412.5,1412.0,1412.4,14777
9,2025-06-20 09:24:00,1412.4,1412.9,1412.1,1412.1,6255
10,2025-06-20 09:25:00,1412.1,1414.0,1412.1,1413.9,13719
11,2025-06-20 09:26:00,1413.9,1413.9,1411.5,1411.5,11646
12,2025-06-20 09:27:00,1411.8,1411.8,1411.0,1411.3,10529
13,2025-06-20 09:28:00,1411.3,1413.1,1411.3,1413.1,10199
14,2025-06-20 09:29:00,1413.5,1413.5,1412.7,1413.2,6136
15,2025-06-20 09:30:00,1412.8,1413.3,1412.7,1413.3,8405
16,2025-06-20 09:31:00,1413.2,1413.5,1413.1,1413.5,4689
17,2025-06-20 09:32:00,1413.3,1413.5,1412.0,1412.0,8574
18,2025-06-20 09:33:00,1412.0,1412.1,1411.6,1411.6,17399
19,2025-06-20 09:34:00,1411.6,1412.9,1411.6,1412.4,10381
20,2025-06-20 09:35:00,1412.8,1413.0,1412.4,1412.6,4705
21,2025-06-20 09:36:00,1413.0,1413.4,1412.4,1412.5,8349
22,2025-06-20 09:37:00,1412.4,1412.6,1412.0,1412.1,3766
23,2025-06-20 09:38:00,1412.1,1412.1,1412.0,1412.1,4427
24,2025-06-20 09:39:00,1412.1,1412.1,1411.6,1411.9,18407
25,2025-06-20 09:40:00,1411.9,1412.8,1411.4,1412.6,12202
26,2025-06-20 09:41:00,1412.7,1413.4,1412.4,1413.1,2653
27,2025-06-20 09:42:00,1413.2,1415.9,1413.0,1415.7,20283
28,2025-06-20 09:43:00,1415.9,1416.0,1415.2,1415.4,13711
29,2025-06-20 09:44:00,1415.4,1416.1,1415.4,1416.1,6117
30,2025-06-20 09:45:00,1416.0,1416.8,1415.9,1416.2,12436
31,2025-06-20 09:46:00,1416.2,1416.3,1416.0,1416.1,4528
32,2025-06-20 09:47:00,1416.1,1416.1,1415.7,1415.7,6736
33,2025-06-20 09:48:00,1415.7,1415.9,1414.7,1414.7,4860
34,2025-06-20 09:49:00,1415.1,1415.4,1414.0,1414.7,13480
35,2025-06-20 09:50:00,1414.6,1414.7,1414.2,1414.5,4520
36,2025-06-20 09:51:00,1414.6,1414.6,1413.9,1414.5,8756
37,2025-06-20 09:52:00,1414.5,1414.7,1414.0,1414.3,2868
38,2025-06-20 09:53:00,1414.5,1414.5,1414.3,1414.5,3977
39,2025-06-20 09:54:00,1414.5,1415.1,1414.2,1415.1,11046
40,2025-06-20 09:55:00,1415.2,1415.7,1415.2,1415.4,2148
41,2025-06-20 09:56:00,1415.4,1415.7,1415.3,1415.4,2797
42,2025-06-20 09:57:00,1415.4,1416.0,1415.4,1416.0,5320
43,2025-06-20 09:58:00,1416.0,1416.6,1415.9,1416.5,5451
44,2025-06-20 09:59:00,1416.5,1416.5,1415.8,1416.0,9668
45,2025-06-20 10:00:00,1416.0,1416.1,1415.5,1415.7,6212
46,2025-06-20 10:01:00,1415.8,1416.3,1415.5,1416.0,4080
47,2025-06-20 10:02:00,1416.2,1416.2,1415.6,1415.6,5936
48,2025-06-20 10:03:00,1415.9,1415.9,1415.5,1415.5,3111
49,2025-06-20 10:04:00,1415.7,1415.7,1415.4,1415.6,2576
50,2025-06-20 10:05:00,1415.6,1415.6,1415.3,1415.4,5479
51,2025-06-20 10:06:00,1415.4,1415.5,1415.0,1415.0,2943
52,2025-06-20 10:07:00,1415.0,1415.4,1414.8,1414.9,2636
53,2025-06-20 10:08:00,1414.8,1414.9,1414.1,1414.5,6169
54,2025-06-20 10:09:00,1414.4,1414.5,1414.2,1414.4,4861
55,2025-06-20 10:10:00,1414.2,1415.0,1414.1,1414.9,3889
56,2025-06-20 10:11:00,1414.3,1415.0,1414.3,1414.8,2399
57,2025-06-20 10:12:00,1414.8,1415.5,1414.6,1414.6,6274
58,2025-06-20 10:13:00,1414.6,1415.6,1414.6,1415.3,5615
59,2025-06-20 10:14:00,1415.3,1415.5,1415.2,1415.4,3968
60,2025-06-20 10:15:00,1415.3,1418.0,1415.3,1417.4,23221
61,2025-06-20 10:16:00,1417.9,1418.8,1417.5,1417.5,11240
62,2025-06-20 10:17:00,1417.5,1417.7,1417.4,1417.7,6858
63,2025-06-20 10:18:00,1417.5,1417.8,1417.5,1417.7,3464
64,2025-06-20 10:19:00,1417.7,1418.5,1417.7,1418.0,3364
65,2025-06-20 10:20:00,1418.0,1418.8,1418.0,1418.7,7383
66,2025-06-20 10:21:00,1418.7,1419.0,1418.4,1418.7,7305
67,2025-06-20 10:22:00,1419.0,1420.8,1418.7,1420.8,22490
68,2025-06-20 10:23:00,1420.4,1421.0,1420.1,1420.3,16119
69,2025-06-20 10:24:00,1420.5,1420.7,1420.0,1420.3,9781
70,2025-06-20 10:25:00,1420.3,1422.0,1420.2,1422.0,8811
71,2025-06-20 10:26:00,1421.6,1422.1,1421.6,1422.0,5074
72,2025-06-20 10:27:00,1422.0,1423.7,1422.0,1422.9,14589
73,2025-06-20 10:28:00,1422.9,1423.0,1422.3,1422.4,10355
74,2025-06-20 10:29:00,1422.4,1422.7,1422.3,1422.3,4925
75,2025-06-20 10:30:00,1422.3,1423.4,1421.6,1423.4,24183
76,2025-06-20 10:31:00,1423.1,1424.9,1423.1,1424.4,16308
77,2025-06-20 10:32:00,1424.4,1425.0,1423.4,1424.7,6137
78,2025-06-20 10:33:00,1424.7,1425.4,1424.7,1425.0,15924
79,2025-06-20 10:34:00,1424.8,1425.0,1424.4,1424.5,7455
80,2025-06-20 10:35:00,1424.5,1425.6,1424.4,1425.2,21381
81,2025-06-20 10:36:00,1425.0,1425.4,1425.0,1425.1,5790
82,2025-06-20 10:37:00,1425.1,1425.5,1425.1,1425.4,8791
83,2025-06-20 10:38:00,1425.3,1425.4,1424.8,1424.9,11683
84,2025-06-20 10:39:00,1424.8,1425.4,1424.6,1424.9,13509
85,2025-06-20 10:40:00,1424.7,1424.9,1423.4,1423.6,18406
86,2025-06-20 10:41:00,1423.7,1425.2,1423.7,1424.5,45310
87,2025-06-20 10:42:00,1424.5,1424.8,1424.2,1424.2,6896
88,2025-06-20 10:43:00,1424.6,1424.8,1423.0,1423.1,15548
89,2025-06-20 10:44:00,1423.2,1423.3,1422.2,1422.5,6411
90,2025-06-20 10:45:00,1422.6,1423.0,1422.4,1422.6,7706
91,2025-06-20 10:46:00,1422.6,1423.0,1422.3,1422.6,12508
