Timestamp,LTP,BidQty,AskQty
2025-06-06 12:34:42.062728,930.65,360,540
2025-06-06 12:34:42.701814,930.65,570,240
2025-06-06 12:34:43.420828,928.0,570,240
2025-06-06 12:34:43.904355,927.95,390,480
2025-06-06 12:34:44.025319,927.95,390,480
2025-06-06 12:34:45.025917,928.75,390,480
2025-06-06 12:34:45.107543,928.75,390,450
2025-06-06 12:34:46.030370,928.55,390,450
2025-06-06 12:34:46.309503,928.55,390,300
2025-06-06 12:34:47.027554,930.0,390,300
2025-06-06 12:34:47.724062,930.0,420,390
2025-06-06 12:34:48.825329,931.35,420,390
2025-06-06 12:34:48.911625,931.35,270,390
2025-06-06 12:34:49.424181,929.25,270,390
2025-06-06 12:34:50.114113,929.25,360,420
2025-06-06 12:34:51.032176,930.05,360,420
2025-06-06 12:34:51.316651,930.05,180,390
2025-06-06 12:34:52.029130,931.15,180,390
2025-06-06 12:34:52.533123,930.0,180,330
2025-06-06 12:34:53.033580,930.0,180,330
2025-06-06 12:34:53.919575,932.05,360,360
2025-06-06 12:34:54.032002,932.05,360,360
2025-06-06 12:34:55.062140,932.7,360,360
2025-06-06 12:34:55.121929,932.7,330,270
2025-06-06 12:34:56.031321,931.6,330,270
2025-06-06 12:34:56.324062,931.4,390,540
2025-06-06 12:34:57.031661,931.4,390,540
2025-06-06 12:34:57.527315,931.4,270,360
2025-06-06 12:34:58.734552,931.4,330,390
2025-06-06 12:34:59.236278,930.5,330,390
2025-06-06 12:35:00.129235,930.5,300,300
2025-06-06 12:35:00.430088,930.5,300,300
2025-06-06 12:35:00.630032,930.95,300,300
2025-06-06 12:35:01.332404,930.95,240,300
2025-06-06 12:35:01.829786,930.0,240,300
2025-06-06 12:35:02.536716,930.0,330,270
2025-06-06 12:35:02.829559,929.0,330,270
2025-06-06 12:35:03.743209,930.5,300,300
2025-06-06 12:35:03.831675,930.5,300,300
2025-06-06 12:35:04.036476,930.1,300,300
2025-06-06 12:35:04.943711,930.1,180,420
2025-06-06 12:35:05.242440,929.6,180,420
2025-06-06 12:35:06.038320,930.05,180,420
2025-06-06 12:35:06.340456,930.05,480,300
2025-06-06 12:35:07.434386,928.9,480,300
2025-06-06 12:35:07.545173,928.45,750,210
2025-06-06 12:35:08.059806,928.45,750,210
2025-06-06 12:35:08.745856,928.45,390,300
2025-06-06 12:35:09.037404,928.45,390,300
2025-06-06 12:35:09.949585,928.45,450,300
2025-06-06 12:35:10.240107,927.05,450,300
2025-06-06 12:35:11.351382,927.0,300,390
2025-06-06 12:35:12.043141,927.0,300,390
2025-06-06 12:35:12.551506,927.0,390,180
2025-06-06 12:35:13.039164,927.0,390,180
2025-06-06 12:35:13.753476,927.0,690,240
2025-06-06 12:35:14.039588,928.15,690,240
2025-06-06 12:35:14.957452,928.15,1410,450
2025-06-06 12:35:15.440230,925.0,1410,450
2025-06-06 12:35:16.162762,925.0,840,330
2025-06-06 12:35:17.361548,925.0,810,330
2025-06-06 12:35:17.642025,925.0,810,330
2025-06-06 12:35:18.763090,925.0,480,480
2025-06-06 12:35:19.060990,925.0,480,480
2025-06-06 12:35:19.967589,925.0,480,330
2025-06-06 12:35:21.177401,924.05,270,480
2025-06-06 12:35:21.246967,922.05,270,480
2025-06-06 12:35:22.052237,921.8,270,480
2025-06-06 12:35:22.369844,921.8,420,240
2025-06-06 12:35:23.271499,922.95,420,240
2025-06-06 12:35:23.573304,922.95,510,300
2025-06-06 12:35:24.047399,924.4,510,300
2025-06-06 12:35:24.981279,924.4,330,330
2025-06-06 12:35:25.856262,925.7,330,330
2025-06-06 12:35:26.174245,925.7,300,270
2025-06-06 12:35:27.255919,927.85,300,270
2025-06-06 12:35:27.385930,927.85,390,420
2025-06-06 12:35:28.072690,927.95,390,420
2025-06-06 12:35:28.581265,927.95,270,480
2025-06-06 12:35:29.055855,925.0,270,480
2025-06-06 12:35:29.784868,925.0,690,300
2025-06-06 12:35:30.430987,925.0,690,300
2025-06-06 12:35:31.181585,925.0,360,270
2025-06-06 12:35:31.854976,926.1,360,270
2025-06-06 12:35:32.384453,926.1,330,330
2025-06-06 12:35:32.850892,925.0,330,330
2025-06-06 12:35:33.454029,924.15,330,330
2025-06-06 12:35:33.586384,924.15,300,300
2025-06-06 12:35:34.793372,924.15,300,360
2025-06-06 12:35:36.201550,924.15,300,330
2025-06-06 12:35:37.198019,924.15,240,510
2025-06-06 12:35:38.591841,924.15,270,480
2025-06-06 12:35:39.794421,924.15,300,300
2025-06-06 12:35:40.855748,923.5,300,300
2025-06-06 12:35:41.006731,923.5,240,450
2025-06-06 12:35:42.212645,923.5,510,390
2025-06-06 12:35:42.459505,926.0,510,390
2025-06-06 12:35:43.062664,926.5,510,390
2025-06-06 12:35:43.400249,926.5,300,270
2025-06-06 12:35:44.106473,927.1,300,270
2025-06-06 12:35:44.601391,925.75,240,570
2025-06-06 12:35:45.069440,925.15,240,570
2025-06-06 12:35:45.803657,928.0,330,270
2025-06-06 12:35:46.072895,928.0,330,270
