Timestamp,LTP,BidQty,AskQty
2025-06-06 12:27:25.939364,895.15,480,360
2025-06-06 12:27:25.939475,739.95,360,330
2025-06-06 12:27:25.939638,789.65,270,330
2025-06-06 12:27:26.465182,896.55,510,450
2025-06-06 12:27:26.610791,741.2,360,330
2025-06-06 12:27:26.756967,896.55,510,450
2025-06-06 12:27:26.823666,789.65,240,180
2025-06-06 12:27:26.835135,741.2,180,180
2025-06-06 12:27:27.652323,896.05,510,570
2025-06-06 12:27:27.752403,896.05,510,570
2025-06-06 12:27:28.026249,789.65,390,150
2025-06-06 12:27:28.037319,741.2,330,270
2025-06-06 12:27:28.564890,792.55,390,150
2025-06-06 12:27:28.614368,741.9,330,270
2025-06-06 12:27:28.752422,897.65,510,570
2025-06-06 12:27:28.853972,897.65,750,570
2025-06-06 12:27:29.240762,792.55,390,300
2025-06-06 12:27:29.251975,741.9,240,330
2025-06-06 12:27:29.753174,900.45,750,570
2025-06-06 12:27:30.253232,901.15,300,360
2025-06-06 12:27:30.419921,901.15,300,360
2025-06-06 12:27:30.426215,792.55,390,300
2025-06-06 12:27:30.431964,792.55,450,150
2025-06-06 12:27:30.463588,741.9,240,330
2025-06-06 12:27:30.639080,741.9,330,210
2025-06-06 12:27:30.752978,900.85,300,360
2025-06-06 12:27:31.468786,900.6,540,330
2025-06-06 12:27:31.861906,900.6,540,330
2025-06-06 12:27:31.862112,792.55,390,270
2025-06-06 12:27:31.862181,741.9,330,240
2025-06-06 12:27:32.659294,900.9,540,450
2025-06-06 12:27:32.755401,900.9,540,450
2025-06-06 12:27:33.033875,792.55,480,240
2025-06-06 12:27:33.044597,741.9,540,150
2025-06-06 12:27:33.568518,792.25,480,240
2025-06-06 12:27:33.754098,900.45,540,450
2025-06-06 12:27:33.861268,900.85,390,270
2025-06-06 12:27:34.041461,744.1,540,150
2025-06-06 12:27:34.245800,792.35,420,210
2025-06-06 12:27:34.253891,744.1,450,270
2025-06-06 12:27:34.369633,792.35,420,210
2025-06-06 12:27:34.758596,901.15,390,270
2025-06-06 12:27:35.009712,744.4,450,270
2025-06-06 12:27:35.066178,901.15,510,330
2025-06-06 12:27:35.444600,792.35,330,180
2025-06-06 12:27:35.649428,744.4,510,300
2025-06-06 12:27:35.754347,901.2,510,330
2025-06-06 12:27:35.982249,795.0,330,180
2025-06-06 12:27:36.010447,744.7,510,300
2025-06-06 12:27:36.266781,903.6,510,300
2025-06-06 12:27:36.374893,794.45,330,180
2025-06-06 12:27:36.755946,903.6,510,300
2025-06-06 12:27:36.840164,794.45,420,360
2025-06-06 12:27:36.849489,744.7,270,300
2025-06-06 12:27:37.478681,903.6,390,330
2025-06-06 12:27:37.756697,902.05,390,330
2025-06-06 12:27:38.043300,794.45,270,450
2025-06-06 12:27:38.052992,744.7,360,390
2025-06-06 12:27:38.614436,745.25,360,390
2025-06-06 12:27:38.757679,901.6,390,330
2025-06-06 12:27:38.867017,901.45,510,540
2025-06-06 12:27:39.013061,743.65,360,390
2025-06-06 12:27:39.251271,794.45,540,600
2025-06-06 12:27:39.257467,743.65,420,330
2025-06-06 12:27:39.807157,901.45,510,540
2025-06-06 12:27:40.070874,901.4,1050,390
2025-06-06 12:27:40.453417,794.45,180,570
2025-06-06 12:27:40.464352,743.65,210,270
2025-06-06 12:27:40.759198,901.75,1050,390
2025-06-06 12:27:41.271453,901.8,1260,540
2025-06-06 12:27:41.572057,794.45,180,570
2025-06-06 12:27:41.658870,743.65,210,300
2025-06-06 12:27:41.760229,902.0,1260,540
2025-06-06 12:27:41.847731,794.45,330,480
2025-06-06 12:27:42.495373,901.7,1350,390
2025-06-06 12:27:42.760437,901.7,1350,390
2025-06-06 12:27:42.771701,794.45,330,480
2025-06-06 12:27:42.858075,743.65,630,210
2025-06-06 12:27:43.052747,795.0,480,540
2025-06-06 12:27:43.180449,795.0,480,540
2025-06-06 12:27:43.223095,745.4,630,210
2025-06-06 12:27:43.490078,902.7,1050,420
2025-06-06 12:27:43.763805,903.4,1050,420
2025-06-06 12:27:44.015945,746.85,630,210
2025-06-06 12:27:44.060926,745.65,180,360
