EntryTime,EntryPrice,ExitTime,ExitPrice,PnL,Side
2025-06-09 10:26:31,741.5,2025-06-09 10:26:32,740.95,-0.5499999999999545,Buy
2025-06-09 10:26:32,741.5,2025-06-09 10:26:32,740.95,-0.5499999999999545,Buy
2025-06-09 10:26:32,740.95,2025-06-09 10:26:34,740.0,-0.9500000000000455,Buy
2025-06-09 10:26:33,741.2,2025-06-09 10:26:34,740.0,-1.2000000000000455,Buy
2025-06-09 10:26:34,741.2,2025-06-09 10:26:34,740.0,-1.2000000000000455,Buy
2025-06-09 10:26:34,740.0,2025-06-09 10:26:38,740.0,0.0,Buy
2025-06-09 10:26:35,740.0,2025-06-09 10:26:40,740.0,-0.0,Sell
2025-06-09 10:26:38,740.0,2025-06-09 10:26:43,741.35,-1.3500000000000227,Sell
2025-06-09 10:26:40,740.0,2025-06-09 10:26:43,741.35,-1.3500000000000227,Sell
2025-06-09 10:26:45,740.0,2025-06-09 10:26:45,741.35,-1.3500000000000227,Sell
2025-06-09 10:26:45,741.35,2025-06-09 10:26:50,739.6,1.75,Sell
2025-06-09 10:26:59,746.1,2025-06-09 10:27:02,745.75,0.35000000000002274,Sell
2025-06-09 10:27:10,743.2,2025-06-09 10:27:14,741.95,1.25,Sell
2025-06-09 10:27:11,741.75,2025-06-09 10:27:14,741.95,-0.20000000000004547,Sell
2025-06-09 10:27:23,742.5,2025-06-09 10:27:24,749.7,7.2000000000000455,Buy
2025-06-09 10:27:24,742.4,2025-06-09 10:27:24,749.7,7.300000000000068,Buy
2025-06-09 10:27:24,749.7,2025-06-09 10:27:26,752.95,3.25,Buy
2025-06-09 10:27:25,749.7,2025-06-09 10:27:26,752.95,-3.25,Sell
2025-06-09 10:27:27,752.95,2025-06-09 10:27:31,752.5,0.4500000000000455,Sell
2025-06-09 10:27:35,755.0,2025-06-09 10:27:37,750.9,4.100000000000023,Sell
2025-06-09 10:27:35,752.75,2025-06-09 10:27:37,753.15,-0.39999999999997726,Sell
2025-06-09 10:27:36,752.75,2025-06-09 10:27:37,753.15,-0.39999999999997726,Sell
2025-06-09 10:27:37,753.15,2025-06-09 10:27:38,748.65,4.5,Sell
2025-06-09 10:27:41,750.6,2025-06-09 10:27:44,748.25,-2.3500000000000227,Buy
2025-06-09 10:27:47,748.25,2025-06-09 10:27:50,745.7,2.5499999999999545,Sell
2025-06-09 10:27:48,748.25,2025-06-09 10:27:50,745.7,2.5499999999999545,Sell
2025-06-09 10:27:50,748.25,2025-06-09 10:27:50,745.7,2.5499999999999545,Sell
2025-06-09 10:27:50,745.7,2025-06-09 10:27:53,743.7,2.0,Sell
2025-06-09 10:27:53,743.7,2025-06-09 10:27:56,743.25,0.4500000000000455,Sell
2025-06-09 10:27:53,743.5,2025-06-09 10:27:56,740.1,3.3999999999999773,Sell
