Entry_Time,Entry_Price,Exit_Time,Exit_Price,PnL,Equity
2025-06-11 10:36:00,625.15,2025-06-11 10:38:00,629.05,3.9,3.9
2025-06-11 10:39:00,631.0,2025-06-11 10:42:00,634.9,3.9,7.8
2025-06-11 10:43:00,666.85,2025-06-11 10:44:00,670.75,3.9,11.7
2025-06-11 10:46:00,678.8000000000001,2025-06-11 10:48:00,675.7,-3.1,8.6
2025-06-11 10:52:00,671.9,2025-06-11 10:56:00,675.8,3.9,12.5
2025-06-11 10:58:00,677.7,2025-06-11 10:59:00,681.6,3.9,16.4
2025-06-11 11:01:00,679.85,2025-06-11 11:02:00,683.75,3.9,20.299999999999997
2025-06-11 11:05:00,683.0500000000001,2025-06-11 11:06:00,686.95,3.9,24.199999999999996
2025-06-11 11:08:00,688.6,2025-06-11 11:10:00,692.5,3.9,28.099999999999994
2025-06-11 11:11:00,683.0500000000001,2025-06-11 11:12:00,686.95,3.9,31.999999999999993
2025-06-11 11:13:00,691.25,2025-06-11 11:15:00,695.15,3.9,35.89999999999999
2025-06-11 11:18:00,700.1,2025-06-11 11:20:00,704.0,3.9,39.79999999999999
2025-06-11 11:24:00,686.9,2025-06-11 11:27:00,690.8,3.9,43.69999999999999
2025-06-11 11:29:00,682.15,2025-06-11 11:31:00,686.05,3.9,47.59999999999999
2025-06-11 11:32:00,689.15,2025-06-11 11:33:00,693.05,3.9,51.499999999999986
2025-06-11 11:35:00,696.65,2025-06-11 11:38:00,700.55,3.9,55.399999999999984
2025-06-11 11:44:00,691.3000000000001,2025-06-11 11:46:00,695.2,3.9,59.29999999999998
2025-06-11 11:49:00,699.9,2025-06-11 11:51:00,703.8,3.9,63.19999999999998
2025-06-11 11:52:00,704.0500000000001,2025-06-11 11:53:00,707.95,3.9,67.09999999999998
2025-06-11 11:55:00,712.1,2025-06-11 11:57:00,709.0,-3.1,63.99999999999998
2025-06-11 11:58:00,715.7,2025-06-11 12:01:00,712.6,-3.1,60.89999999999998
2025-06-11 12:05:00,704.45,2025-06-11 12:08:00,708.35,3.9,64.79999999999998
2025-06-11 12:11:00,707.6,2025-06-11 12:14:00,711.5,3.9,68.69999999999999
2025-06-11 12:16:00,706.7,2025-06-11 12:19:00,710.6,3.9,72.6
2025-06-11 12:22:00,712.75,2025-06-11 12:23:00,716.65,3.9,76.5
2025-06-11 12:24:00,718.1,2025-06-11 12:27:00,715.0,-3.1,73.4
2025-06-11 12:28:00,703.35,2025-06-11 12:30:00,700.25,-3.1,70.30000000000001
2025-06-11 12:31:00,698.8000000000001,2025-06-11 12:32:00,702.7,3.9,74.20000000000002
2025-06-11 12:40:00,669.35,2025-06-11 12:41:00,673.25,3.9,78.10000000000002
2025-06-11 12:42:00,680.1,2025-06-11 12:45:00,684.0,3.9,82.00000000000003
2025-06-11 12:46:00,687.3000000000001,2025-06-11 12:49:00,691.2,3.9,85.90000000000003
2025-06-11 12:51:00,687.15,2025-06-11 12:55:00,691.05,3.9,89.80000000000004
2025-06-11 12:56:00,687.2,2025-06-11 13:01:00,689.4499999999999,2.2499999999998863,92.04999999999993
2025-06-11 13:04:00,679.1,2025-06-11 13:07:00,683.0,3.9,95.94999999999993
2025-06-11 13:10:00,668.45,2025-06-11 13:13:00,665.35,-3.1,92.84999999999994
2025-06-11 13:17:00,652.9,2025-06-11 13:19:00,656.8,3.9,96.74999999999994
2025-06-11 13:23:00,646.6,2025-06-11 13:25:00,643.5,-3.1,93.64999999999995
2025-06-11 13:27:00,630.6,2025-06-11 13:29:00,627.5,-3.1,90.54999999999995
2025-06-11 13:32:00,593.85,2025-06-11 13:33:00,597.75,3.9,94.44999999999996
2025-06-11 13:34:00,601.9,2025-06-11 13:35:00,605.8,3.9,98.34999999999997
2025-06-11 13:36:00,610.1,2025-06-11 13:38:00,607.0,-3.1,95.24999999999997
2025-06-11 13:41:00,607.2,2025-06-11 13:43:00,604.1,-3.1,92.14999999999998
2025-06-11 13:45:00,581.6,2025-06-11 13:49:00,578.5,-3.1,89.04999999999998
2025-06-11 13:50:00,579.65,2025-06-11 13:52:00,576.55,-3.1,85.94999999999999
2025-06-11 13:54:00,573.5,2025-06-11 13:55:00,577.4,3.9,89.85
2025-06-11 13:56:00,587.0,2025-06-11 14:00:00,583.9,-3.1,86.75
2025-06-11 14:01:00,575.75,2025-06-11 14:02:00,579.65,3.9,90.65
2025-06-11 14:09:00,558.35,2025-06-11 14:10:00,562.25,3.9,94.55000000000001
2025-06-11 14:16:00,570.95,2025-06-11 14:21:00,574.5,3.5499999999999545,98.09999999999997
2025-06-11 14:44:00,576.1,2025-06-11 14:46:00,580.0,3.9,101.99999999999997
2025-06-11 14:48:00,582.75,2025-06-11 14:49:00,579.65,-3.1,98.89999999999998
2025-06-11 14:58:00,587.45,2025-06-11 15:00:00,584.35,-3.1,95.79999999999998
