Timestamp,LTP,BidQty,AskQty
2025-06-06 12:27:25.939522,841.35,630,420
2025-06-06 12:27:26.052909,841.35,630,420
2025-06-06 12:27:26.821176,841.35,690,510
2025-06-06 12:27:27.853586,842.5,690,510
2025-06-06 12:27:28.024359,842.5,600,390
2025-06-06 12:27:28.463533,842.5,600,390
2025-06-06 12:27:29.234888,842.5,750,300
2025-06-06 12:27:29.654797,843.95,750,300
2025-06-06 12:27:30.056567,846.2,750,300
2025-06-06 12:27:30.420629,846.2,750,300
2025-06-06 12:27:30.621970,846.2,750,390
2025-06-06 12:27:31.056928,846.2,750,390
2025-06-06 12:27:31.862019,844.6,690,360
2025-06-06 12:27:32.056788,844.6,690,360
2025-06-06 12:27:33.026072,844.6,660,420
2025-06-06 12:27:34.237010,844.6,540,270
2025-06-06 12:27:34.468786,846.55,540,270
2025-06-06 12:27:35.059931,846.9,540,270
2025-06-06 12:27:35.429369,845.05,990,360
2025-06-06 12:27:36.059077,848.65,990,360
2025-06-06 12:27:36.632734,848.65,600,300
2025-06-06 12:27:37.060502,848.65,600,300
2025-06-06 12:27:37.835684,846.7,840,330
2025-06-06 12:27:38.057628,846.7,840,330
2025-06-06 12:27:39.249319,846.7,630,420
2025-06-06 12:27:39.658912,846.4,630,420
2025-06-06 12:27:40.436520,847.1,330,450
2025-06-06 12:27:40.471474,847.1,330,450
2025-06-06 12:27:41.059587,846.65,330,450
2025-06-06 12:27:41.638029,846.65,750,630
2025-06-06 12:27:42.495102,846.65,750,630
2025-06-06 12:27:42.841901,846.65,240,660
2025-06-06 12:27:43.662833,849.0,240,660
2025-06-06 12:27:44.043194,847.7,330,510
2025-06-06 12:27:44.063295,847.7,330,510
2025-06-06 12:27:45.062747,848.0,330,510
2025-06-06 12:27:45.442611,849.4,690,420
2025-06-06 12:27:46.064236,849.85,690,420
2025-06-06 12:27:46.645419,849.85,750,450
2025-06-06 12:27:47.264267,848.55,750,450
2025-06-06 12:27:47.851470,848.2,300,600
2025-06-06 12:27:48.065763,848.25,300,600
2025-06-06 12:27:49.050639,850.0,330,540
2025-06-06 12:27:49.065119,847.95,330,540
2025-06-06 12:27:50.066948,849.7,330,540
2025-06-06 12:27:50.457001,848.75,300,570
2025-06-06 12:27:51.066706,848.75,300,570
2025-06-06 12:27:51.652671,848.75,390,600
2025-06-06 12:27:52.668002,849.7,390,600
2025-06-06 12:27:52.856078,849.7,450,540
2025-06-06 12:27:53.478964,849.6,450,540
2025-06-06 12:27:54.057015,849.45,480,990
